Institution,Program,GDS.Data-literacy,GDS.Data-representation-modeling,GDS.Compute,GDS.Data-modeling,GDS.Communication,GDS.Science
Ohio State University - Main Campus,B.S. in Data Analytics,3,4,4,2.5,4,1
Pennsylvannia State University - Main Campus,"BS in Data Sciences, Computational Science option",4,4,4,2.5,1,3
Pennsylvannia State University - Main Campus,"B.S. in Data Sciences, Applied Data Science option",4,4,4,2.5,4,3
Stanford University ,Data Science Minor,2,2.5,4,3,4,2
University of Arizona,Statistics and Data Science BA,4,2.5,4,2.5,4,2
University of Arizona,Statistics and Data Science BS,4,2.5,4,2.5,4,2
University of California - Berkeley,B.A. in Data Science,4,3,4,3,4,2
University of California - Davis,B.S. in Statistics: Statistical Data Science,3,4,4,2.5,4,2
University of Colorado - Boulder,B.A. in Statistics and Data Science,3,2.5,4,4,4,2
University of Illinois Urbana-Champagne,Certificate in Data Science ,2,2,2,3,2,2
University of Iowa,B.S. in Data Science,3,4,4,4,4,1
University of Maryland - College Park,B.S. in Computer Science with data science specialization,3,4,4,2.5,4,2
University of Washington - Seattle,"B.S. in Applied & Computational Mathematical Sciences, Data Sciences & Statistics Track",2,4,4,2.5,4,2
University of Washington - Seattle,"B.S. in Computer Science, Data Science Option",2,4,4,2.5,4,1
University of Washington - Seattle,"B.S. in Informatics, Data Science Track",4,2.5,4,2.5,4,2
University of Washington - Seattle,B.S. in Statistics with Data Science option,2,3,4,1.5,4,1
University of Washington - Seattle,B.S. in Human Centered Design & Engineering with Data Science option,2,2.5,4,2.5,2,2
Washington State University,"B.S. Computer Science, Data Science Track",3,3,4,2.5,4,2
